uen,issuance_agency_id,entity_name,entity_type_description,business_constitution_description,company_type_description,paf_constitution_description,entity_status_description,entity_active,registration_incorporation_date,year_rego,uen_issue_date,address_type,block,street_name,level_no,unit_no,building_name,postal_code,other_address_line1,other_address_line2,account_due_date,annual_return_date,primary_ssic_code
200516851D,ACRA,Q & M DENTAL SURGERY (HOUGANG MALL) PTE. LTD.,Local Company,na,Private Company Limited by Shares,na,Live Company,Active,5/12/05,2005,5/12/05,LOCAL,2,CLEMENTI LOOP,4,1,LOGIS HUB @ CLEMENTI,129809,na,na,31/7/25,29/7/24,86204
200600045E,ACRA,PHILIP GOH DENTAL SURGERY PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,Non-Active,1/1/06,2006,1/1/06,LOCAL,1,TANJONG PAGAR PLAZA,2,35,na,82001,na,na,31/7/19,3/7/18,86204
53059439X,ACRA,TOOTH ANGELS,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,Non-Active,2/1/06,2006,2/1/06,LOCAL,46A,TOH TUCK ROAD,1,8,SIGNATURE PARK,596738,na,na,na,na,86204
53059484J,ACRA,DR GHOWS & ASSOCIATES DENTAL SURGEONS,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Live,Active,3/1/06,2006,3/1/06,LOCAL,541,ORCHARD ROAD,14,4,LIAT TOWERS,238881,na,na,na,na,86204
200600058K,ACRA,LE MINT'S ORAL SURGERY PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,3/1/06,2006,3/1/06,LOCAL,172,EAST COAST ROAD,na,na,na,428878,na,na,31/7/25,30/7/24,86204
200600098C,ACRA,NICHO PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,3/1/06,2006,3/1/06,LOCAL,541,ORCHARD ROAD,14,4,LIAT TOWERS,238881,na,na,31/7/25,30/7/24,86204
200600707W,ACRA,CHIN DENTAL SURGERY PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,16/1/06,2006,16/1/06,LOCAL,252,JURONG EAST STREET 24,1,135,YUHUA VILLAGE,600252,na,na,31/7/25,18/7/24,86204
53060610X,ACRA,T & T DENTAL SURGERY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Live,Active,21/1/06,2006,21/1/06,LOCAL,505B,BISHAN STREET 11,1,418,na,572505,na,na,na,na,86204
200601138R,ACRA,T & T DENTAL PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,24/1/06,2006,24/1/06,LOCAL,505B,BISHAN STREET 11,1,418,na,572505,na,na,31/7/25,6/7/24,86204
53061102C,ACRA,HOLY SPIRIT DENTAL LABORATORY,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,Non-Active,3/2/06,2006,3/2/06,LOCAL,155,KALLANG WAY,4,18-19,na,349244,na,na,na,na,86204
200601622K,ACRA,ANGELS & CO. PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,7/2/06,2006,7/2/06,LOCAL,8,EU TONG SEN STREET,11,92,THE CENTRAL,59818,na,na,31/10/25,21/10/24,86204
200601765H,ACRA,SMILEARTS PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,10/2/06,2006,10/2/06,LOCAL,81,MARINE PARADE CENTRAL,1,632,MARINE PARADE PROMENADE,440081,na,na,30/1/26,28/1/25,86204
200601862K,ACRA,LOGOS DENTAL PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,11/2/06,2006,11/2/06,LOCAL,66,KALLANG BAHRU,1,501,na,330066,na,na,31/7/25,22/4/24,86204
200602237R,ACRA,SWIFTHAC ENGINEERING PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,20/2/06,2006,20/2/06,LOCAL,1002,JALAN BUKIT MERAH,4,17/18,na,159456,na,na,31/7/25,27/6/24,86204
T06LL0224B,ACRA,DHOBY DENTAL SURGERY LLP,Limited Liability Partnership,na,na,na,Struck Off,Non-Active,27/2/06,2006,27/2/06,LOCAL,150,ORCHARD ROAD,2,9,ORCHARD PLAZA,238841,na,na,31/12/14,30/11/13,86204
200602761C,ACRA,IMPLANTDONTICS PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,28/2/06,2006,28/2/06,LOCAL,1,ORCHARD BOULEVARD,10,2,CAMDEN CENTRE,248649,na,na,31/7/25,31/7/24,86204
200604446Z,ACRA,A M LIM (DENTAL SERVICES) PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,Non-Active,29/3/06,2006,29/3/06,LOCAL,52,THE INGLEWOOD,na,na,THE INGLEWOOD,575081,na,na,31/12/09,14/10/08,86204
53065209M,ACRA,VINCENT'S DENTAL SURGERY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Live,Active,30/3/06,2006,30/3/06,LOCAL,245,TANJONG KATONG ROAD,na,na,BENG TONG MANSION,437033,na,na,na,na,86204
200604687K,ACRA,MANDARIN DENTAL CENTRE (BT) PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,1/4/06,2006,1/4/06,LOCAL,165,BUKIT MERAH CENTRAL,3,3665,na,150165,na,na,31/7/25,1/8/24,86204
53065413W,ACRA,DENTAL WERKS,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Live,Active,2/4/06,2006,2/4/06,LOCAL,8,EMPRESS ROAD,1,29,FARRER GARDENS,260008,na,na,na,na,86204
53065629M,ACRA,SAW AND LEE DENTAL SURGERY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Live,Active,5/4/06,2006,5/4/06,LOCAL,32,MARGOLIOUTH ROAD,na,na,na,258558,na,na,na,na,86204
200605519E,ACRA,Q & M DENTAL CLINIC (SERANGOON CENTRAL) PTE. LTD.,Local Company,na,Private Company Limited by Shares,na,Struck Off,Non-Active,17/4/06,2006,17/4/06,LOCAL,81,SCIENCE PARK DRIVE,2,4,THE CHADWICK,118257,na,na,31/10/15,29/8/14,86204
200605521K,ACRA,Q & M DENTAL CLINIC (TOA PAYOH CENTRAL) PTE. LTD.,Local Company,na,Private Company Limited by Shares,na,Struck Off,Non-Active,17/4/06,2006,17/4/06,LOCAL,81,SCIENCE PARK DRIVE,2,4,THE CHADWICK,118257,na,na,31/10/15,29/8/14,86204
200605522C,ACRA,Q & M DENTAL CLINIC (TIONG BAHRU) PTE. LTD.,Local Company,na,Private Company Limited by Shares,na,Struck Off,Non-Active,17/4/06,2006,17/4/06,LOCAL,81,SCIENCE PARK DRIVE,2,4,THE CHADWICK,118257,na,na,31/10/15,29/8/14,86204
200605524D,ACRA,Q & M DENTAL CLINIC (CLEMENTI) PTE. LTD.,Local Company,na,Private Company Limited by Shares,na,Struck Off,Non-Active,17/4/06,2006,17/4/06,LOCAL,81,SCIENCE PARK DRIVE,2,4,THE CHADWICK,118257,na,na,31/10/15,29/8/14,86204
200605525N,ACRA,Q & M DENTAL CLINIC (TOA PAYOH) PTE. LTD.,Local Company,na,Private Company Limited by Shares,na,Struck Off,Non-Active,17/4/06,2006,17/4/06,LOCAL,81,SCIENCE PARK DRIVE,2,4,THE CHADWICK,118257,na,na,31/10/15,29/8/14,86204
200605493G,ACRA,SPARKLE HEALTHCARE PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,17/4/06,2006,17/4/06,LOCAL,10,SINARAN DRIVE,4,25,SQUARE 2,307506,na,na,31/10/25,3/8/24,86204
53066556E,ACRA,UNIVERSAL DENTAL SURGERY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Live,Active,18/4/06,2006,18/4/06,LOCAL,844,YISHUN STREET 81,1,160,KHATIB CENTRAL,760844,na,na,na,na,86204
200605624W,ACRA,TOOTHMARK PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,19/4/06,2006,19/4/06,LOCAL,245,TANJONG KATONG ROAD,na,na,BENG TONG MANSION,437033,na,na,28/2/26,6/2/25,86204
200605711G,ACRA,Q & M DENTAL CLINIC PTE. LTD.,Local Company,na,Private Company Limited by Shares,na,Struck Off,Non-Active,20/4/06,2006,20/4/06,LOCAL,81,SCIENCE PARK DRIVE,2,4,THE CHADWICK,118257,na,na,31/10/15,29/8/14,86204
200606162K,ACRA,SAW AND LEE PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,28/4/06,2006,28/4/06,LOCAL,32,MARGOLIOUTH ROAD,na,na,na,258558,na,na,30/9/25,26/9/24,86204
200606324K,ACRA,MBA CONSULTANTS PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,Non-Active,3/5/06,2006,3/5/06,LOCAL,42,KEPPEL BAY DRIVE,1,111,CARIBBEAN AT KEPPEL BAY,98656,na,na,30/11/19,26/11/18,86204
200606388K,ACRA,DE DENTAL PRACTICE PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,4/5/06,2006,4/5/06,LOCAL,3,SIMEI STREET 6,3,13,EASTPOINT MALL,528833,na,na,31/7/25,26/7/24,86204
200606427W,ACRA,PRISTINE DENTAL WORKS PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,Non-Active,4/5/06,2006,4/5/06,LOCAL,18,JALAN MASJID,1,7,KEMBANGAN PLAZA,418944,na,na,31/10/12,29/7/11,86204
200606430N,ACRA,PRISTINE DENTAL SERVICES PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,Non-Active,4/5/06,2006,4/5/06,LOCAL,492,JURONG WEST STREET 41,1,32,na,640492,na,na,31/10/15,14/7/14,86204
200606689E,ACRA,DR BEN LONG ENDODONTICS PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,Non-Active,9/5/06,2006,9/5/06,LOCAL,19,WALMER DRIVE,na,na,SERANGOON GARDEN ESTATE,555044,na,na,31/7/20,26/7/19,86204
200606970W,ACRA,DAN & YEM ENTERPRISE PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,15/5/06,2006,15/5/06,LOCAL,844,YISHUN STREET 81,1,160,KHATIB CENTRAL,760844,na,na,31/7/25,21/6/24,86204
200608156N,ACRA,Q & M DENTAL SURGERY (MARSILING) PTE. LTD.,Local Company,na,Private Company Limited by Shares,na,Live Company,Active,6/6/06,2006,6/6/06,LOCAL,2,CLEMENTI LOOP,4,1,LOGIS HUB @ CLEMENTI,129809,na,na,31/7/25,30/7/24,86204
200609723G,ACRA,KAISER'S ZAHNKLINIK PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,Non-Active,4/7/06,2006,4/7/06,LOCAL,220,LOYANG AVENUE,1,4,LOYANG VALLEY,509067,na,na,31/5/12,2/2/11,86204
53072198L,ACRA,CITY DENTAL SURGERY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled (Non-Renewal),Non-Active,11/7/06,2006,11/7/06,LOCAL,1,COLEMAN STREET,B1,36,THE ADELPHI,179803,na,na,na,na,86204
200610263R,ACRA,LAM DENTAL SURGERY PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,13/7/06,2006,13/7/06,LOCAL,28,GENTING LANE,8,7,PLATINUM 28,349585,na,na,31/7/25,26/7/24,86204
200610704D,ACRA,BUKIT TIMAH NAM SENG DENTAL SURGERY PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,22/7/06,2006,22/7/06,LOCAL,144,UPPER BUKIT TIMAH ROAD,1,16,BEAUTY WORLD CENTRE,588177,na,na,30/6/25,24/6/24,86204
53073034X,ACRA,MYOHEALTH CLINIC SINGAPORE,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,Non-Active,22/7/06,2006,22/7/06,LOCAL,1,ORCHARD BOULEVARD,10,4,CAMDEN CENTRE,248649,na,na,na,na,86204
200611180K,ACRA,ALLKIDS PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,1/8/06,2006,1/8/06,LOCAL,1C,JALAN SENTOSA,na,na,na,418214,na,na,28/2/26,6/2/25,86204
53073718C,ACRA,THE KIDS DENTIST,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Live,Active,1/8/06,2006,1/8/06,LOCAL,1,ORCHARD BOULEVARD,13,6,CAMDEN CENTRE,248649,na,na,na,na,86204
200611202E,ACRA,NUFFIELD DENTAL NOVENA PRIVATE LIMITED,Local Company,na,Private Company Limited by Shares,na,Live Company,Active,2/8/06,2006,2/8/06,LOCAL,21,UBI ROAD 1,5,02B,na,408724,na,na,31/7/25,26/7/24,86204
200611739M,ACRA,OSK DENTAL PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,Non-Active,14/8/06,2006,14/8/06,LOCAL,113,ALJUNIED AVENUE 2,1,11,na,380113,na,na,4/5/12,6/1/11,86204
200611887H,ACRA,AGAPE DENTAL WORKS PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,16/8/06,2006,16/8/06,LOCAL,80,CHANGI ROAD,2,74,CENTROPOD @ CHANGI,419715,na,na,31/7/25,4/7/24,86204
200611891R,ACRA,DAZZLESMILES PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,16/8/06,2006,16/8/06,LOCAL,80,CHANGI ROAD,2,74,CENTROPOD @ CHANGI,419715,na,na,31/7/25,4/7/24,86204
T06LL1076F,ACRA,THE DENTAL COSMETIC CLINIC LLP,Limited Liability Partnership,na,na,na,Struck Off,Non-Active,16/8/06,2006,16/8/06,LOCAL,20,CECIL STREET,8,7,PLUS,49705,na,na,16/11/07,na,86204
53075085J,ACRA,ALDA DENTAL SURGERY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Live,Active,22/8/06,2006,22/8/06,LOCAL,48,TANGLIN HALT ROAD,1,337,na,142048,na,na,na,na,86204
200612889G,ACRA,BZTAG ENTERPRISE PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,4/9/06,2006,4/9/06,LOCAL,725,CLEMENTI WEST STREET 2,1,198,na,120725,na,na,31/3/26,27/3/25,86204
200613436H,ACRA,BRACES & AESTHETICS DENTAL CLINIC PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,12/9/06,2006,12/9/06,LOCAL,10,SINARAN DRIVE,10,36,SQUARE 2,307506,na,na,31/3/26,23/12/24,86204
53077421J,ACRA,STAR DENTAL SURGERY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,25/9/06,2006,25/9/06,LOCAL,298,BEACH ROAD,B1,11,CONCOURSE SKYLINE,199554,na,na,na,na,86204
200614372W,ACRA,ALDA ENTERPRISE PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,29/9/06,2006,29/9/06,LOCAL,158,BEDOK SOUTH AVENUE 3,1,589,na,460158,na,na,31/7/25,30/7/24,86204
200614421W,ACRA,LYE DENTAL WORKS PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,Non-Active,29/9/06,2006,29/9/06,LOCAL,1,COLEMAN STREET,5,02B,THE ADELPHI,179803,na,na,27/10/14,26/6/13,86204
200615052E,ACRA,EXCELSIOR DENTAL SURGERY PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,10/10/06,2006,10/10/06,LOCAL,17,BURGUNDY CRESCENT,na,na,BURGUNDY HILL,658730,na,na,30/4/25,23/4/24,86204
200615120Z,ACRA,ORCHARD SCOTTS DENTAL PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,11/10/06,2006,11/10/06,LOCAL,541,ORCHARD ROAD,14,3,LIAT TOWERS,238881,na,na,30/4/25,21/6/24,86204
200615969E,ACRA,STOMATOGNATHIC SERVICES PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,26/10/06,2006,26/10/06,LOCAL,135,SUNSET WAY,7,15,CLEMENTI PARK,597158,na,na,30/4/26,14/3/25,86204
200615986W,ACRA,TIONG BAHRU DENTAL SURGERY PTE. LTD.,Local Company,na,Private Company Limited by Shares,na,Live Company,Active,26/10/06,2006,26/10/06,LOCAL,2,CLEMENTI LOOP,4,1,LOGIS HUB @ CLEMENTI,129809,na,na,31/7/25,30/7/24,86204
53079873E,ACRA,PL2KT2,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,Non-Active,1/11/06,2006,1/11/06,LOCAL,135,SUNSET WAY,7,15,CLEMENTI PARK,597158,na,na,na,na,86204
200616828E,ACRA,QIXTRON PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,Non-Active,11/11/06,2006,11/11/06,LOCAL,369,HOLLAND ROAD,11,1,ALLSWORTH PARK,278640,na,na,22/6/13,22/2/12,86204
200617220G,ACRA,HARMONY DENTAL SURGERY PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,17/11/06,2006,17/11/06,LOCAL,683,HOUGANG AVENUE 8,1,945,HOUGANG VILLAGE,530683,na,na,31/5/26,18/3/25,86204
53081553B,ACRA,BETHEL DENTAL SURGERY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Live,Active,27/11/06,2006,27/11/06,LOCAL,1,JELEBU ROAD,1,63,BUKIT PANJANG PLAZA,677743,na,na,na,na,86204
200617783H,ACRA,SMILE CENTRE FOR DENTAL EXCELLENCE PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,28/11/06,2006,28/11/06,LOCAL,231B,EAST COAST ROAD,na,na,na,428927,na,na,31/7/25,22/4/24,86204
200618152H,ACRA,SYMBIOS ENTERPRISE PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,Non-Active,5/12/06,2006,5/12/06,LOCAL,487,YIO CHU KANG ROAD,1,12,CASTLE GREEN,787059,na,na,31/10/10,14/7/09,86204
53082891W,ACRA,THE IMPLANT AND ORAL SURGERY CENTRE,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Live,Active,19/12/06,2006,19/12/06,LOCAL,10,SINARAN DRIVE,11,25/26,SQUARE 2,307506,na,na,na,na,86204
200700027E,ACRA,EMMANUEL DENTAL SURGERY PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Gazetted To Be Struck Off,Non-Active,1/1/07,2007,1/1/07,LOCAL,190,CLEMENCEAU AVENUE,2,14,SINGAPORE SHOPPING CENTRE,239924,na,na,31/7/25,8/4/24,86204
200700264M,ACRA,PLANET DENTAL CENTRE PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,5/1/07,2007,5/1/07,LOCAL,628,UPPER THOMSON ROAD,5,56,MEADOWS @ PEIRCE,787131,na,na,31/7/25,26/7/24,86204
53083972E,ACRA,2TH DENTAL WORKS,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,Non-Active,9/1/07,2007,9/1/07,LOCAL,22,CORNWALL GARDENS,na,na,na,269647,na,na,na,na,86204
53084422B,ACRA,DP DENTAL (KOVAN),Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Ceased Registration,Non-Active,15/1/07,2007,15/1/07,LOCAL,560,YISHUN AVENUE 6,11,22,LILYDALE,768966,na,na,na,na,86204
200701031H,ACRA,CROWN DENTAL SURGERY PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,18/1/07,2007,18/1/07,LOCAL,32,TANAH MERAH KECHIL ROAD,11,17,EAST MEADOWS,465559,na,na,31/7/25,29/7/24,86204
200701900K,ACRA,THE ENDODONTIC PRACTICE PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,1/2/07,2007,1/2/07,LOCAL,290,ORCHARD ROAD,15,3,THE PARAGON,238859,na,na,31/8/25,29/8/24,86204
200702898N,ACRA,THE DENTAL PEOPLE PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,21/2/07,2007,21/2/07,LOCAL,139,TAMPINES STREET 11,1,12,na,521139,na,na,31/7/25,19/7/24,86204
200703006W,ACRA,INTERNATIONAL DENTAL ACADEMY PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,23/2/07,2007,23/2/07,LOCAL,338,PASIR PANJANG ROAD,5,9,LUXE VILLE,118669,na,na,30/1/26,12/1/25,86204
200703112C,ACRA,WK GOH DENTALCARE @ BALMORAL PTE. LTD.,Local Company,na,Private Company Limited by Shares,na,Struck Off,Non-Active,26/2/07,2007,26/2/07,LOCAL,600,NORTH BRIDGE ROAD,14,4-May,PARKVIEW SQUARE,188778,na,na,31/10/13,27/2/14,86204
200704148C,ACRA,STAR DENTAL SURGERY PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,13/3/07,2007,13/3/07,LOCAL,20,UPPER CIRCULAR ROAD,1,24,THE RIVERWALK,58416,na,na,31/1/16,30/12/14,86204
200704171D,ACRA,EASTWOOD DENTALCARE FAMILY DENTAL CLINIC PRIVATE LIMITED,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,14/3/07,2007,14/3/07,LOCAL,20,EASTWOOD ROAD,1,12,EASTWOOD CENTRE,486442,na,na,30/9/25,24/9/24,86204
200704448E,ACRA,TWIN SMILES PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,Non-Active,16/3/07,2007,16/3/07,LOCAL,42,CHOA CHU KANG STREET 64,8,13,THE QUINTET,689104,na,na,30/9/19,27/9/18,86204
200705156H,ACRA,SMILE DESIGN PTE. LTD.,Local Company,na,Private Company Limited by Shares,na,Struck Off,Non-Active,28/3/07,2007,28/3/07,LOCAL,33,WATTEN VIEW,na,na,WATTEN ESTATE,287158,na,na,27/12/15,26/8/14,86204
53089055X,ACRA,SINGAPORE DENTAL CLINIC,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,Non-Active,28/3/07,2007,28/3/07,LOCAL,290,ORCHARD ROAD,13,1-Jun,THE PARAGON,238859,na,na,na,na,86204
200705124H,ACRA,THE DENTAL BOUTIQUE PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,Non-Active,28/3/07,2007,28/3/07,LOCAL,76,BERWICK DRIVE,na,na,SERANGOON GARDEN ESTATE,559942,na,na,30/9/20,24/9/19,86204
200705316G,ACRA,VANGARD AND PROFILES DENTAL AMBITIONS PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,30/3/07,2007,30/3/07,LOCAL,22,BAYSHORE ROAD,10,2,THE BAYSHORE,469970,na,na,30/9/25,12/11/24,86204
200705406H,ACRA,SINGAPORE DENTAL SPECIALISTS PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,Non-Active,2/4/07,2007,2/4/07,LOCAL,3,MOUNT ELIZABETH,7,3,MOUNT ELIZABETH HOSPITAL,228510,na,na,28/1/14,16/5/13,86204
200705637G,ACRA,ADVENT ENDODONTICS INC PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,4/4/07,2007,4/4/07,LOCAL,290,ORCHARD ROAD,11,10,THE PARAGON,238859,na,na,31/12/25,24/10/24,86204
200705958G,ACRA,BITES INC (ORTHODONTICS) PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,Non-Active,10/4/07,2007,10/4/07,LOCAL,19,TANGLIN ROAD,4,15A,TANGLIN SHOPPING CENTRE,247909,na,na,31/1/12,22/11/10,86204
53090353M,ACRA,SPECIALIST DENTAL GROUP,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Live,Active,14/4/07,2007,14/4/07,LOCAL,3,MOUNT ELIZABETH,8,3-Apr,MOUNT ELIZABETH HOSPITAL,228510,na,na,na,na,86204
200706484E,ACRA,AESTHETIC RECONSTRUCTIVE JAW SURGERY PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,18/4/07,2007,18/4/07,LOCAL,3,MOUNT ELIZABETH,4,5,MOUNT ELIZABETH HOSPITAL,228510,na,na,31/7/25,24/7/24,86204
200706537H,ACRA,ACE STAR DENTAL SERVICES PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,18/4/07,2007,18/4/07,LOCAL,133,CECIL STREET,4,1,KECK SENG TOWER,69535,na,na,31/10/25,16/10/24,86204
200708114E,ACRA,SMILE DENTAL GROUP PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,9/5/07,2007,9/5/07,LOCAL,231,EAST COAST ROAD,na,na,na,428927,na,na,31/7/25,22/4/24,86204
200708232D,ACRA,SYNERGY DENTAL SPECIALISTS PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,Non-Active,11/5/07,2007,11/5/07,LOCAL,13,STAMFORD ROAD,B2,36/37,CAPITOL PIAZZA,178905,na,na,31/10/22,25/10/21,86204
200708598H,ACRA,KALONA PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,16/5/07,2007,16/5/07,LOCAL,1,TRAS LINK,2,7,ORCHID HOTEL,78867,na,na,31/7/25,20/6/24,86204
200709113K,ACRA,LUMINOUS DENTAL CLINIC @ CHAI CHEE PTE. LTD.,Local Company,na,Private Company Limited by Shares,na,Live Company,Active,23/5/07,2007,23/5/07,LOCAL,5,TAMPINES CENTRAL 1,1,1,TAMPINES PLAZA 2,529541,na,na,31/7/23,11/7/24,86204
53094334D,ACRA,THE SMILE DIVISION,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,Non-Active,8/6/07,2007,8/6/07,LOCAL,10,CHOA CHU KANG AVENUE 4,1,2,CHOA CHU KANG MRT STATION,689810,na,na,na,na,86204
200711822C,ACRA,MADELIENE GUNARATNAM DENTAL SURGERY PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,2/7/07,2007,2/7/07,LOCAL,1,ORCHARD BOULEVARD,6,09A,CAMDEN CENTRE,248649,na,na,30/1/26,22/1/25,86204
53096004D,ACRA,SEMBAWANG DENTAL SURGERY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Live,Active,3/7/07,2007,3/7/07,LOCAL,406,SEMBAWANG DRIVE,1,824,na,750406,na,na,na,na,86204
200711963W,ACRA,TOOTH ANGELS & CO. (CORONATION) PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,3/7/07,2007,3/7/07,LOCAL,5,CORONATION ROAD,1,1,CORONATION ARCADE,269406,na,na,31/10/25,22/10/24,86204
200712637R,ACRA,TOOTHCRAFT DENTAL SURGEONS PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,Active,11/7/07,2007,11/7/07,LOCAL,681,EAST COAST ROAD,na,na,FRANKEL ESTATE,459052,na,na,31/7/25,3/3/24,86204
200713589D,ACRA,THE SMILE DIVISION @ PRIMECARE DENTAL CLINIC PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,Non-Active,25/7/07,2007,25/7/07,LOCAL,57B,DEVONSHIRE ROAD,31,5,THE SUITES AT CENTRAL,239899,na,na,14/10/17,13/6/16,86204
200713768R,ACRA,TOOTH ANGELS & CO. DENTAL SURGEONS (THE CENTRAL) PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,Non-Active,27/7/07,2007,27/7/07,LOCAL,6,EU TONG SEN STREET,B1,2,THE CENTRAL,59817,na,na,25/10/16,24/6/15,86204
